,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
ID,1034.0,3.633462282398453,2.0058197526172097,1.0,1.0,4.0,5.0,7.0,0.012259432886167035,-1.2982519748821333
Side,1034.0,1.490328820116054,0.5001483692751937,1.0,1.0,1.0,2.0,2.0,0.038748191840204525,-2.002375396309388
Window,1034.0,266.29787234042556,201.61526878507723,0.0,108.0,228.0,372.0,924.0,0.9606515756485091,0.5051756068474944
cnn_feat_0_mean,1034.0,0.0038714196998625994,0.004958077799528837,0.0,0.0,0.0012623494258150458,0.0070596878649666905,0.01908881962299347,1.1524827480316162,0.12031427025794983
cnn_feat_0_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_0_min,1034.0,0.0038714196998625994,0.004958077799528837,0.0,0.0,0.0012623494258150458,0.0070596878649666905,0.01908881962299347,1.1524827480316162,0.12031427025794983
cnn_feat_0_max,1034.0,0.0038714196998625994,0.004958077799528837,0.0,0.0,0.0012623494258150458,0.0070596878649666905,0.01908881962299347,1.1524827480316162,0.12031427025794983
cnn_feat_1_mean,1034.0,0.052260253578424454,0.01134364865720272,0.027674250304698944,0.0433621546253562,0.0521750058978796,0.06022930983453989,0.09191779792308807,0.2856447100639343,-0.32407063245773315
cnn_feat_1_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_1_min,1034.0,0.052260253578424454,0.01134364865720272,0.027674250304698944,0.0433621546253562,0.0521750058978796,0.06022930983453989,0.09191779792308807,0.2856447100639343,-0.32407063245773315
cnn_feat_1_max,1034.0,0.052260253578424454,0.01134364865720272,0.027674250304698944,0.0433621546253562,0.0521750058978796,0.06022930983453989,0.09191779792308807,0.2856447100639343,-0.32407063245773315
cnn_feat_2_mean,1034.0,0.0430285818874836,0.008118102326989174,0.016750508919358253,0.036567854695022106,0.04209749959409237,0.05067398399114609,0.05873406305909157,-0.041791804134845734,-0.9644914269447327
cnn_feat_2_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_2_min,1034.0,0.0430285818874836,0.008118102326989174,0.016750508919358253,0.036567854695022106,0.04209749959409237,0.05067398399114609,0.05873406305909157,-0.041791804134845734,-0.9644914269447327
cnn_feat_2_max,1034.0,0.0430285818874836,0.008118102326989174,0.016750508919358253,0.036567854695022106,0.04209749959409237,0.05067398399114609,0.05873406305909157,-0.041791804134845734,-0.9644914269447327
cnn_feat_3_mean,1034.0,0.013882065191864967,0.008444548584520817,0.0,0.006599393556825817,0.013906063977628946,0.02064162353053689,0.035239651799201965,0.15972179174423218,-0.9990634918212891
cnn_feat_3_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_3_min,1034.0,0.013882065191864967,0.008444548584520817,0.0,0.006599393556825817,0.013906063977628946,0.02064162353053689,0.035239651799201965,0.15972179174423218,-0.9990634918212891
cnn_feat_3_max,1034.0,0.013882065191864967,0.008444548584520817,0.0,0.006599393556825817,0.013906063977628946,0.02064162353053689,0.035239651799201965,0.15972179174423218,-0.9990634918212891
cnn_feat_4_mean,1034.0,0.039811622351408005,0.031223593279719353,0.0,0.0038963232655078173,0.04178667441010475,0.06846804544329643,0.09519705176353455,0.030191844329237938,-1.4590778350830078
cnn_feat_4_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_4_min,1034.0,0.039811622351408005,0.031223593279719353,0.0,0.0038963232655078173,0.04178667441010475,0.06846804544329643,0.09519705176353455,0.030191844329237938,-1.4590778350830078
cnn_feat_4_max,1034.0,0.039811622351408005,0.031223593279719353,0.0,0.0038963232655078173,0.04178667441010475,0.06846804544329643,0.09519705176353455,0.030191844329237938,-1.4590778350830078
cnn_feat_5_mean,1034.0,0.002703118370845914,0.003090586746111512,0.0003212398150935769,0.0009290767484344542,0.0014356713509187102,0.0024114754633046687,0.014082686975598335,1.9317753314971924,2.6447641849517822
cnn_feat_5_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_5_min,1034.0,0.002703118370845914,0.003090586746111512,0.0003212398150935769,0.0009290767484344542,0.0014356713509187102,0.0024114754633046687,0.014082686975598335,1.9317753314971924,2.6447641849517822
cnn_feat_5_max,1034.0,0.002703118370845914,0.003090586746111512,0.0003212398150935769,0.0009290767484344542,0.0014356713509187102,0.0024114754633046687,0.014082686975598335,1.9317753314971924,2.6447641849517822
cnn_feat_6_mean,1034.0,0.020461658015847206,0.004330264870077372,0.00951856654137373,0.017273110803216696,0.02044575195759535,0.02340324455872178,0.03416290879249573,0.1975001096725464,-0.11272206157445908
cnn_feat_6_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_6_min,1034.0,0.020461658015847206,0.004330264870077372,0.00951856654137373,0.017273110803216696,0.02044575195759535,0.02340324455872178,0.03416290879249573,0.1975001096725464,-0.11272206157445908
cnn_feat_6_max,1034.0,0.020461658015847206,0.004330264870077372,0.00951856654137373,0.017273110803216696,0.02044575195759535,0.02340324455872178,0.03416290879249573,0.1975001096725464,-0.11272206157445908
cnn_feat_7_mean,1034.0,0.04783979430794716,0.015038659796118736,0.012950646691024303,0.035378046333789825,0.04753546789288521,0.06150008551776409,0.07869730144739151,-0.045994214713573456,-1.0806474685668945
cnn_feat_7_std,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
