,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
cnn_feat_2_min,1077.0,0.044347815215587616,0.009175330400466919,0.013675526715815067,0.03765013441443443,0.04307923465967178,0.05284116789698601,0.06340891122817993,-0.16594913601875305,-0.654484212398529
cnn_feat_2_max,1077.0,0.044347815215587616,0.009175330400466919,0.013675526715815067,0.03765013441443443,0.04307923465967178,0.05284116789698601,0.06340891122817993,-0.16594913601875305,-0.654484212398529
cnn_feat_3_mean,1077.0,0.013635038398206234,0.008898882195353508,0.0,0.0057128737680613995,0.01347694918513298,0.02137923426926136,0.034466590732336044,0.0740019753575325,-1.2202585935592651
cnn_feat_3_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_3_min,1077.0,0.013635038398206234,0.008898882195353508,0.0,0.0057128737680613995,0.01347694918513298,0.02137923426926136,0.034466590732336044,0.0740019753575325,-1.2202585935592651
cnn_feat_3_max,1077.0,0.013635038398206234,0.008898882195353508,0.0,0.0057128737680613995,0.01347694918513298,0.02137923426926136,0.034466590732336044,0.0740019753575325,-1.2202585935592651
cnn_feat_4_mean,1077.0,0.041332706809043884,0.032408494502305984,0.0,0.0035530715249478817,0.04398364573717117,0.07121121138334274,0.09725499898195267,0.011060934513807297,-1.4803916215896606
cnn_feat_4_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_4_min,1077.0,0.041332706809043884,0.032408494502305984,0.0,0.0035530715249478817,0.04398364573717117,0.07121121138334274,0.09725499898195267,0.011060934513807297,-1.4803916215896606
cnn_feat_4_max,1077.0,0.041332706809043884,0.032408494502305984,0.0,0.0035530715249478817,0.04398364573717117,0.07121121138334274,0.09725499898195267,0.011060934513807297,-1.4803916215896606
cnn_feat_5_mean,1077.0,0.002803357085213065,0.0030594486743211746,0.00026468755095265806,0.0009125083452090621,0.0014575415989384055,0.00311829661950469,0.014223435893654823,1.7922724485397339,2.2212162017822266
cnn_feat_5_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_5_min,1077.0,0.002803357085213065,0.0030594486743211746,0.00026468755095265806,0.0009125083452090621,0.0014575415989384055,0.00311829661950469,0.014223435893654823,1.7922724485397339,2.2212162017822266
cnn_feat_5_max,1077.0,0.002803357085213065,0.0030594486743211746,0.00026468755095265806,0.0009125083452090621,0.0014575415989384055,0.00311829661950469,0.014223435893654823,1.7922724485397339,2.2212162017822266
cnn_feat_6_mean,1077.0,0.020046258345246315,0.003918847534805536,0.007168387062847614,0.017569756135344505,0.01990528218448162,0.02250351756811142,0.03580988571047783,0.19548654556274414,0.6511070728302002
cnn_feat_6_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_6_min,1077.0,0.020046258345246315,0.003918847534805536,0.007168387062847614,0.017569756135344505,0.01990528218448162,0.02250351756811142,0.03580988571047783,0.19548654556274414,0.6511070728302002
cnn_feat_6_max,1077.0,0.020046258345246315,0.003918847534805536,0.007168387062847614,0.017569756135344505,0.01990528218448162,0.02250351756811142,0.03580988571047783,0.19548654556274414,0.6511070728302002
cnn_feat_7_mean,1077.0,0.04984579235315323,0.014750133268535137,0.014349540695548058,0.037562109529972076,0.05134117603302002,0.0633469745516777,0.07704441994428635,-0.19355642795562744,-1.115967869758606
cnn_feat_7_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_7_min,1077.0,0.04984579235315323,0.014750133268535137,0.014349540695548058,0.037562109529972076,0.05134117603302002,0.0633469745516777,0.07704441994428635,-0.19355642795562744,-1.115967869758606
cnn_feat_7_max,1077.0,0.04984579235315323,0.014750133268535137,0.014349540695548058,0.037562109529972076,0.05134117603302002,0.0633469745516777,0.07704441994428635,-0.19355642795562744,-1.115967869758606
cnn_feat_8_mean,1077.0,0.023440442979335785,0.01488447654992342,0.00014363009540829808,0.013031566515564919,0.02022898755967617,0.03491184860467911,0.06006808206439018,0.36307862401008606,-0.7736373543739319
cnn_feat_8_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_8_min,1077.0,0.023440442979335785,0.01488447654992342,0.00014363009540829808,0.013031566515564919,0.02022898755967617,0.03491184860467911,0.06006808206439018,0.36307862401008606,-0.7736373543739319
cnn_feat_8_max,1077.0,0.023440442979335785,0.01488447654992342,0.00014363009540829808,0.013031566515564919,0.02022898755967617,0.03491184860467911,0.06006808206439018,0.36307862401008606,-0.7736373543739319
cnn_feat_9_mean,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_9_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_9_min,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_9_max,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_10_mean,1077.0,0.003825659630820155,0.005063737276941538,0.0,0.00011284882202744484,0.0008974943775683641,0.006690994370728731,0.021533504128456116,1.269324541091919,0.39206722378730774
cnn_feat_10_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_10_min,1077.0,0.003825659630820155,0.005063737276941538,0.0,0.00011284882202744484,0.0008974943775683641,0.006690994370728731,0.021533504128456116,1.269324541091919,0.39206722378730774
cnn_feat_10_max,1077.0,0.003825659630820155,0.005063737276941538,0.0,0.00011284882202744484,0.0008974943775683641,0.006690994370728731,0.021533504128456116,1.269324541091919,0.39206722378730774
cnn_feat_11_mean,1077.0,0.018933920189738274,0.006185573060065508,0.005760489497333765,0.014768458902835846,0.018346533179283142,0.021647140383720398,0.04017449915409088,0.6585759520530701,0.32995596528053284
cnn_feat_11_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_11_min,1077.0,0.018933920189738274,0.006185573060065508,0.005760489497333765,0.014768458902835846,0.018346533179283142,0.021647140383720398,0.04017449915409088,0.6585759520530701,0.32995596528053284
cnn_feat_11_max,1077.0,0.018933920189738274,0.006185573060065508,0.005760489497333765,0.014768458902835846,0.018346533179283142,0.021647140383720398,0.04017449915409088,0.6585759520530701,0.32995596528053284
cnn_feat_12_mean,1077.0,3.8325547393469606e-06,3.04199056699872e-05,0.0,0.0,0.0,0.0,0.0006593702710233629,13.419716835021973,233.9869384765625
cnn_feat_12_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_12_min,1077.0,3.8325547393469606e-06,3.04199056699872e-05,0.0,0.0,0.0,0.0,0.0006593702710233629,13.419716835021973,233.9869384765625
cnn_feat_12_max,1077.0,3.8325547393469606e-06,3.04199056699872e-05,0.0,0.0,0.0,0.0,0.0006593702710233629,13.419716835021973,233.9869384765625
cnn_feat_13_mean,1077.0,0.024973295629024506,0.017591970041394234,0.0009563026833347976,0.010193657130002975,0.023744232952594757,0.037532102316617966,0.07722260802984238,0.3837789297103882,-0.7433107495307922
cnn_feat_13_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_13_min,1077.0,0.024973295629024506,0.017591970041394234,0.0009563026833347976,0.010193657130002975,0.023744232952594757,0.037532102316617966,0.07722260802984238,0.3837789297103882,-0.7433107495307922
cnn_feat_13_max,1077.0,0.024973295629024506,0.017591970041394234,0.0009563026833347976,0.010193657130002975,0.023744232952594757,0.037532102316617966,0.07722260802984238,0.3837789297103882,-0.7433107495307922
cnn_feat_14_mean,1077.0,0.0904533639550209,0.029216820374131203,0.0227812509983778,0.06500817835330963,0.0877830758690834,0.11711523681879044,0.1496059149503708,0.08563046157360077,-1.1626180410385132
cnn_feat_14_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_14_min,1077.0,0.0904533639550209,0.029216820374131203,0.0227812509983778,0.06500817835330963,0.0877830758690834,0.11711523681879044,0.1496059149503708,0.08563046157360077,-1.1626180410385132
cnn_feat_14_max,1077.0,0.0904533639550209,0.029216820374131203,0.0227812509983778,0.06500817835330963,0.0877830758690834,0.11711523681879044,0.1496059149503708,0.08563046157360077,-1.1626180410385132
cnn_feat_15_mean,1077.0,0.0013474652078002691,0.0020002033561468124,9.622611287340987e-06,0.0005504788132384419,0.0006446740590035915,0.0007935002213343978,0.01285390742123127,2.8715758323669434,7.6564130783081055
cnn_feat_15_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_15_min,1077.0,0.0013474652078002691,0.0020002033561468124,9.622611287340987e-06,0.0005504788132384419,0.0006446740590035915,0.0007935002213343978,0.01285390742123127,2.8715758323669434,7.6564130783081055
cnn_feat_15_max,1077.0,0.0013474652078002691,0.0020002033561468124,9.622611287340987e-06,0.0005504788132384419,0.0006446740590035915,0.0007935002213343978,0.01285390742123127,2.8715758323669434,7.6564130783081055
cnn_feat_16_mean,1077.0,0.014196895062923431,0.010248907841742039,0.00042071184725500643,0.004664249252527952,0.012471901252865791,0.02277023158967495,0.04166779667139053,0.36632949113845825,-1.0016424655914307
cnn_feat_16_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_16_min,1077.0,0.014196895062923431,0.010248907841742039,0.00042071184725500643,0.004664249252527952,0.012471901252865791,0.02277023158967495,0.04166779667139053,0.36632949113845825,-1.0016424655914307
