,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
ID,1377.0,7.525780682643428,4.220428480548282,1.0,3.0,8.0,11.0,15.0,0.06285478690928517,-1.1628036178123027
Side,1377.0,1.4894698620188815,0.5000707166556037,1.0,1.0,1.0,2.0,2.0,0.042175853111260146,-2.0011298182137693
Window,1377.0,307.520697167756,212.54310722161887,0.0,132.0,276.0,444.0,960.0,0.6831542988590239,-0.07468665405797914
cnn_feat_0_mean,1377.0,0.003431260585784912,0.004436998628079891,0.0,0.0,0.00108116224873811,0.005856040865182877,0.022611722350120544,1.2934448719024658,0.8740819096565247
cnn_feat_0_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_0_min,1377.0,0.003431260585784912,0.004436998628079891,0.0,0.0,0.00108116224873811,0.005856040865182877,0.022611722350120544,1.2934448719024658,0.8740819096565247
cnn_feat_0_max,1377.0,0.003431260585784912,0.004436998628079891,0.0,0.0,0.00108116224873811,0.005856040865182877,0.022611722350120544,1.2934448719024658,0.8740819096565247
cnn_feat_1_mean,1377.0,0.05386751890182495,0.011957213282585144,0.028478160500526428,0.04462664946913719,0.054154764860868454,0.06245941296219826,0.09316649287939072,0.2057926058769226,-0.3411967158317566
cnn_feat_1_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_1_min,1377.0,0.05386751890182495,0.011957213282585144,0.028478160500526428,0.04462664946913719,0.054154764860868454,0.06245941296219826,0.09316649287939072,0.2057926058769226,-0.3411967158317566
cnn_feat_1_max,1377.0,0.05386751890182495,0.011957213282585144,0.028478160500526428,0.04462664946913719,0.054154764860868454,0.06245941296219826,0.09316649287939072,0.2057926058769226,-0.3411967158317566
cnn_feat_2_mean,1377.0,0.04267258942127228,0.008860329166054726,0.01974739506840706,0.0356779471039772,0.042553044855594635,0.05009549483656883,0.0630074143409729,-0.0638912171125412,-0.9115466475486755
cnn_feat_2_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_2_min,1377.0,0.04267258942127228,0.008860329166054726,0.01974739506840706,0.0356779471039772,0.042553044855594635,0.05009549483656883,0.0630074143409729,-0.0638912171125412,-0.9115466475486755
cnn_feat_2_max,1377.0,0.04267258942127228,0.008860329166054726,0.01974739506840706,0.0356779471039772,0.042553044855594635,0.05009549483656883,0.0630074143409729,-0.0638912171125412,-0.9115466475486755
cnn_feat_3_mean,1377.0,0.014147560112178326,0.008872542530298233,0.0,0.007191714830696583,0.013737530447542667,0.021228231489658356,0.04736727103590965,0.20277519524097443,-0.716261625289917
cnn_feat_3_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_3_min,1377.0,0.014147560112178326,0.008872542530298233,0.0,0.007191714830696583,0.013737530447542667,0.021228231489658356,0.04736727103590965,0.20277519524097443,-0.716261625289917
cnn_feat_3_max,1377.0,0.014147560112178326,0.008872542530298233,0.0,0.007191714830696583,0.013737530447542667,0.021228231489658356,0.04736727103590965,0.20277519524097443,-0.716261625289917
cnn_feat_4_mean,1377.0,0.04184717684984207,0.03252403065562248,0.0,0.004401684273034334,0.04458289220929146,0.07187580317258835,0.09602206945419312,-0.004519843962043524,-1.4847114086151123
cnn_feat_4_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_4_min,1377.0,0.04184717684984207,0.03252403065562248,0.0,0.004401684273034334,0.04458289220929146,0.07187580317258835,0.09602206945419312,-0.004519843962043524,-1.4847114086151123
cnn_feat_4_max,1377.0,0.04184717684984207,0.03252403065562248,0.0,0.004401684273034334,0.04458289220929146,0.07187580317258835,0.09602206945419312,-0.004519843962043524,-1.4847114086151123
cnn_feat_5_mean,1377.0,0.0027702506631612778,0.0029930341988801956,0.0002966988831758499,0.0009190635173581541,0.0014256446156650782,0.003266985761001706,0.016214977949857712,1.8431787490844727,2.6750259399414062
cnn_feat_5_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_5_min,1377.0,0.0027702506631612778,0.0029930341988801956,0.0002966988831758499,0.0009190635173581541,0.0014256446156650782,0.003266985761001706,0.016214977949857712,1.8431787490844727,2.6750259399414062
cnn_feat_5_max,1377.0,0.0027702506631612778,0.0029930341988801956,0.0002966988831758499,0.0009190635173581541,0.0014256446156650782,0.003266985761001706,0.016214977949857712,1.8431787490844727,2.6750259399414062
cnn_feat_6_mean,1377.0,0.021512972190976143,0.004044539760798216,0.011429768986999989,0.01886158064007759,0.021705226972699165,0.024030381813645363,0.03499896079301834,0.14378352463245392,0.14937928318977356
cnn_feat_6_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_6_min,1377.0,0.021512972190976143,0.004044539760798216,0.011429768986999989,0.01886158064007759,0.021705226972699165,0.024030381813645363,0.03499896079301834,0.14378352463245392,0.14937928318977356
cnn_feat_6_max,1377.0,0.021512972190976143,0.004044539760798216,0.011429768986999989,0.01886158064007759,0.021705226972699165,0.024030381813645363,0.03499896079301834,0.14378352463245392,0.14937928318977356
cnn_feat_7_mean,1377.0,0.049364786595106125,0.015585882589221,0.008394329808652401,0.035773467272520065,0.051150768995285034,0.06397566199302673,0.07787608355283737,-0.23201504349708557,-1.1617724895477295
cnn_feat_7_std,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
