,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
ID,693.0,8.2005772005772,4.452887575365406,1.0,4.0,8.0,12.0,15.0,-0.08803058801623632,-1.2876727666426557
Side,693.0,1.5064935064935066,0.5003189433918458,1.0,1.0,2.0,2.0,2.0,-0.026032598201760723,-2.0051174437779604
Window,693.0,138.45887445887445,89.73978179326926,0.0,60.0,132.0,204.0,372.0,0.33528951107503346,-0.7215160261404447
cnn_feat_0_mean,693.0,0.0025930048432201147,0.003778903977945447,0.0,0.0,0.0005291599663905799,0.004077008459717035,0.02447781153023243,1.844120740890503,3.6763503551483154
cnn_feat_0_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_0_min,693.0,0.0025930048432201147,0.003778903977945447,0.0,0.0,0.0005291599663905799,0.004077008459717035,0.02447781153023243,1.844120740890503,3.6763503551483154
cnn_feat_0_max,693.0,0.0025930048432201147,0.003778903977945447,0.0,0.0,0.0005291599663905799,0.004077008459717035,0.02447781153023243,1.844120740890503,3.6763503551483154
cnn_feat_1_mean,693.0,0.05332908406853676,0.011779924854636192,0.02588702365756035,0.04472610354423523,0.05316683277487755,0.062364231795072556,0.08163454383611679,0.02204304002225399,-0.718767523765564
cnn_feat_1_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_1_min,693.0,0.05332908406853676,0.011779924854636192,0.02588702365756035,0.04472610354423523,0.05316683277487755,0.062364231795072556,0.08163454383611679,0.02204304002225399,-0.718767523765564
cnn_feat_1_max,693.0,0.05332908406853676,0.011779924854636192,0.02588702365756035,0.04472610354423523,0.05316683277487755,0.062364231795072556,0.08163454383611679,0.02204304002225399,-0.718767523765564
cnn_feat_2_mean,693.0,0.043351683765649796,0.009067470207810402,0.01553309429436922,0.036119572818279266,0.041804585605859756,0.05131944641470909,0.06738530099391937,0.07029961049556732,-0.8260107040405273
cnn_feat_2_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_2_min,693.0,0.043351683765649796,0.009067470207810402,0.01553309429436922,0.036119572818279266,0.041804585605859756,0.05131944641470909,0.06738530099391937,0.07029961049556732,-0.8260107040405273
cnn_feat_2_max,693.0,0.043351683765649796,0.009067470207810402,0.01553309429436922,0.036119572818279266,0.041804585605859756,0.05131944641470909,0.06738530099391937,0.07029961049556732,-0.8260107040405273
cnn_feat_3_mean,693.0,0.013040605932474136,0.008204769343137741,0.0,0.005860185716301203,0.01284126564860344,0.019513705745339394,0.036282896995544434,0.1702863723039627,-0.8583005666732788
cnn_feat_3_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_3_min,693.0,0.013040605932474136,0.008204769343137741,0.0,0.005860185716301203,0.01284126564860344,0.019513705745339394,0.036282896995544434,0.1702863723039627,-0.8583005666732788
cnn_feat_3_max,693.0,0.013040605932474136,0.008204769343137741,0.0,0.005860185716301203,0.01284126564860344,0.019513705745339394,0.036282896995544434,0.1702863723039627,-0.8583005666732788
cnn_feat_4_mean,693.0,0.042968250811100006,0.03308441489934921,0.0,0.004824129398912191,0.04604416340589523,0.07342448085546494,0.09882781654596329,-0.02705404721200466,-1.4881383180618286
cnn_feat_4_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_4_min,693.0,0.042968250811100006,0.03308441489934921,0.0,0.004824129398912191,0.04604416340589523,0.07342448085546494,0.09882781654596329,-0.02705404721200466,-1.4881383180618286
cnn_feat_4_max,693.0,0.042968250811100006,0.03308441489934921,0.0,0.004824129398912191,0.04604416340589523,0.07342448085546494,0.09882781654596329,-0.02705404721200466,-1.4881383180618286
cnn_feat_5_mean,693.0,0.002285697963088751,0.0023280098102986813,0.0001613149361219257,0.0008927261224016547,0.0013346114428713918,0.002470885869115591,0.013625796884298325,2.092773199081421,4.1688618659973145
cnn_feat_5_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_5_min,693.0,0.002285697963088751,0.0023280098102986813,0.0001613149361219257,0.0008927261224016547,0.0013346114428713918,0.002470885869115591,0.013625796884298325,2.092773199081421,4.1688618659973145
cnn_feat_5_max,693.0,0.002285697963088751,0.0023280098102986813,0.0001613149361219257,0.0008927261224016547,0.0013346114428713918,0.002470885869115591,0.013625796884298325,2.092773199081421,4.1688618659973145
cnn_feat_6_mean,693.0,0.021420752629637718,0.004350907169282436,0.001979599939659238,0.01866200380027294,0.02175876870751381,0.024503128603100777,0.03442387282848358,-0.47230324149131775,0.9221287369728088
cnn_feat_6_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_6_min,693.0,0.021420752629637718,0.004350907169282436,0.001979599939659238,0.01866200380027294,0.02175876870751381,0.024503128603100777,0.03442387282848358,-0.47230324149131775,0.9221287369728088
cnn_feat_6_max,693.0,0.021420752629637718,0.004350907169282436,0.001979599939659238,0.01866200380027294,0.02175876870751381,0.024503128603100777,0.03442387282848358,-0.47230324149131775,0.9221287369728088
cnn_feat_7_mean,693.0,0.048548467457294464,0.015556473284959793,0.010308602824807167,0.035720713436603546,0.049785953015089035,0.06265180557966232,0.07527562975883484,-0.21360211074352264,-1.057835340499878
cnn_feat_7_std,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
